uid,sid
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
1,10
1,11
1,12
1,13
1,14
1,15
1,16
1,17
1,18
1,19
2,20
2,21
2,22
2,23
2,24
2,25
2,6
2,26
2,27
2,28
2,29
2,30
2,31
3,32
3,33
3,34
3,12
3,35
3,36
3,37
3,38
3,39
3,31
4,0
4,40
4,41
4,4
4,34
4,14
4,6
4,42
4,28
4,43
4,44
5,45
5,46
5,47
5,48
5,24
5,49
5,50
5,51
5,52
5,53
5,18
5,31
6,54
6,55
6,25
6,41
6,56
6,57
6,58
6,59
6,60
6,61
6,62
7,63
7,0
7,64
7,65
7,10
7,11
7,4
7,66
7,67
7,7
7,68
7,62
7,69
8,63
8,64
8,21
8,25
8,70
8,51
8,66
8,71
8,15
8,37
8,72
8,17
8,61
9,63
9,45
9,64
9,46
9,73
9,48
9,24
9,74
9,75
9,76
9,77
9,31
9,44
10,78
10,79
10,80
10,13
10,81
10,36
10,71
10,15
10,9
10,61
11,82
11,21
11,32
11,83
11,84
11,85
11,12
11,14
11,7
11,43
12,86
12,24
12,76
12,87
12,28
12,53
12,59
12,18
12,19
12,62
12,88
13,32
13,33
13,56
13,51
13,14
13,6
13,16
13,38
13,89
13,62
14,90
14,21
14,91
14,92
14,84
14,93
14,94
14,95
14,43
14,96
14,97
14,88
14,31
15,98
15,1
15,47
15,79
15,99
15,94
15,100
15,101
15,59
15,62
15,31
16,63
16,82
16,102
16,80
16,81
16,94
16,7
16,38
16,42
16,103
16,104
16,105
16,89
17,64
17,46
17,82
17,32
17,98
17,80
17,94
17,7
17,106
17,18
17,62
18,107
18,10
18,47
18,108
18,24
18,11
18,41
18,99
18,109
18,80
18,110
18,52
18,67
18,27
18,7
18,101
18,68
18,58
18,111
18,112
18,44
19,46
19,90
19,98
19,11
19,4
19,99
19,74
19,66
19,57
19,77
19,100
19,44
20,113
20,21
20,32
20,22
20,48
20,74
20,85
20,76
20,110
20,14
20,35
20,6
20,95
20,100
20,67
20,112
20,61
20,19
20,62
21,82
21,21
21,11
21,33
21,74
21,27
21,114
21,58
21,104
21,62
21,115
22,0
22,116
22,40
22,117
22,13
22,118
22,77
22,38
22,42
22,62
23,10
23,90
23,54
23,48
23,40
23,11
23,41
23,74
23,49
23,110
23,119
23,120
23,18
23,31
24,63
24,121
24,82
24,122
24,32
24,1
24,33
24,123
24,84
24,102
24,34
24,13
24,81
24,6
24,71
24,124
24,15
24,7
24,38
24,68
24,104
24,39
24,17
24,105
24,115
25,63
25,82
25,13
25,36
25,6
25,15
25,7
25,125
25,17
25,96
25,97
26,46
26,82
26,11
26,84
26,12
26,110
26,14
26,111
26,39
26,126
27,46
27,10
27,121
27,82
27,98
27,54
27,127
27,92
27,99
27,74
27,50
27,117
27,66
27,110
27,94
27,77
27,100
27,101
27,68
27,58
27,103
27,72
27,59
27,106
27,112
27,62
28,45
28,10
28,83
28,98
28,24
28,11
28,41
28,74
28,110
28,52
28,15
28,101
28,128
28,28
28,129
28,106
28,112
28,17
28,88
28,44
29,46
29,99
29,66
29,38
29,104
29,112
29,130
29,30
29,131
29,62
30,64
30,73
30,33
30,4
30,92
30,99
30,50
30,66
30,71
30,101
30,120
30,132
31,10
31,21
31,41
31,84
31,109
31,34
31,85
31,95
31,124
31,68
31,126
32,63
32,133
32,54
32,48
32,24
32,41
32,92
32,52
32,77
32,87
32,28
32,72
32,129
32,39
32,18
33,20
33,83
33,98
33,99
33,134
33,84
33,34
33,117
33,13
33,110
33,36
33,52
33,101
33,128
33,8
33,58
33,135
33,9
33,125
33,17
33,18
33,126
33,136
33,62
33,88
34,98
34,11
34,91
34,109
34,74
34,50
34,110
34,59
34,120
34,44
35,82
35,137
35,33
35,123
35,84
35,102
35,34
35,117
35,81
35,7
35,8
35,43
35,112
35,39
35,130
36,107
36,64
36,10
36,21
36,32
36,11
36,41
36,99
36,84
36,109
36,66
36,100
36,101
36,58
36,28
36,112
36,39
36,138
36,30
36,62
36,44
37,92
37,56
37,12
37,35
37,124
37,9
37,125
37,126
37,136
37,97
38,46
38,65
38,10
38,113
38,98
38,108
38,139
38,74
38,93
38,110
38,114
38,68
38,58
38,28
38,53
38,59
38,112
38,126
38,19
38,31
39,78
39,32
39,22
39,33
39,134
39,117
39,51
39,14
39,7
39,130
40,63
40,20
40,65
40,122
40,21
